escala,tonica_ejemplo,formula_intervalos,notas_escala_en_C,criterio,tipo_acorde,grado_o_raiz,acorde,notas_acorde,observaciones
Frigia espanola,C,1 b2 3 4 5 b6 b7,C Db E F G Ab Bb,Por terceras diatonicas sobre cada grado,cuatriada,bvii7,Bbm7,Bb-Db-F-Ab,"Asumida como frigia dominante, tambien llamada escala espanola/gitana en muchos contextos."
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,triada,i,Cm,C-Eb-G,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,triada,II(b5),D(b5),D-F#-Ab,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,triada,bIII+,Ebaug,Eb-G-B,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,triada,#iv,F# no estandar,F#-Ab-C,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,triada,V,G,G-B-D,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,triada,bVI,Ab,Ab-C-Eb,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,triada,vii,Bm,B-D-F#,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,cuatriada,iMaj7,CmMaj7,C-Eb-G-B,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,cuatriada,II7b5,D7b5,D-F#-Ab-C,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,cuatriada,bIIImaj7#5,Ebmaj7#5,Eb-G-B-D,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,cuatriada,#iv,F# no estandar,F#-Ab-C-Eb,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,cuatriada,Vmaj7,Gmaj7,G-B-D-F#,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,cuatriada,bVImaj7,Abmaj7,Ab-C-Eb-G,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Hungara menor,C,1 2 b3 #4 5 b6 7,C D Eb F# G Ab B,Por terceras diatonicas sobre cada grado,cuatriada,vii,Bm6 enh.,B-D-F#-Ab,Algunos acordes por terceras tienen grafia o calidad no estandar; se dan las notas exactas.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,C,Caug,C-E-G#,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,D,Daug,D-F#-Bb,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,E,Eaug,E-G#-C,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,F#,F#aug,F#-Bb-D,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,G#,G#aug,G#-C-E,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,Bb,Bbaug,Bb-D-F#,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,C,C7#5,C-E-G#-Bb,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,D,D7#5,D-F#-Bb-C,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,E,E7#5,E-G#-C-D,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,F#,F#7#5,F#-Bb-D-E,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,G#,G#7#5,G#-C-E-F#,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Tonos enteros,C,1 2 3 #4 #5 b7,C D E F# G# Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,Bb,Bb7#5,Bb-D-F#-G#,Escala simetrica: muchas escrituras son enharmonicas; en guitarra suenan igual aunque se escriban distinto.
Cromatica,C,1 b2 2 b3 3 4 b5 5 b6 6 b7 7,C Db D Eb E F Gb G Ab A Bb B,Contiene los 12 semitonos; no restringe la armonia diatonica,resumen,todas,"Todas las triadas mayores, menores, disminuidas y aumentadas en cualquier raiz",Cualquier combinacion de 3 notas de la escala cromatica,"La lista completa de acordes posibles es abierta si se incluyen extensiones, inversiones y alteraciones."
Cromatica,C,1 b2 2 b3 3 4 b5 5 b6 6 b7 7,C Db D Eb E F Gb G Ab A Bb B,Contiene los 12 semitonos; no restringe la armonia diatonica,resumen,todas,"Todas las cuatriadas basicas: maj7, 7, m7, mMaj7, m7b5, dim7, aug7, augMaj7, etc. en cualquier raiz",Cualquier combinacion de 4 notas de la escala cromatica,"Para uso practico conviene elegir acordes por funcion tonal, no por pertenencia a la escala cromatica."
